Provincia,Casos Probables,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
San Pedro de Macorís,1,15.3,0,dengue,18,2018
Santiago,1,18.9,0,dengue,18,2018
Santiago Rodríguez,0,5.0,0,dengue,18,2018
Santo Domingo,1,7.9,0,dengue,18,2018
Sánchez Ramírez,0,9.5,0,dengue,18,2018
Valverde,0,45.1,0,dengue,18,2018
Azua,0,33.0,0,dengue,20,2018
Baoruco,0,5.2,0,dengue,20,2018
Barahona,3,28.9,0,dengue,20,2018
Dajabón,0,4.0,0,dengue,20,2018
Distrito Nacional,1,7.4,0,dengue,20,2018
Duarte,0,18.4,0,dengue,20,2018
El Seibo,0,5.7,0,dengue,20,2018
Elías Piña,0,8.2,0,dengue,20,2018
Espaillat,0,23.0,0,dengue,20,2018
Extranjera,0,0.0,0,dengue,20,2018
Hato Mayor,0,12.1,0,dengue,20,2018
Hermanas Mirabal,0,31.0,0,dengue,20,2018
Independencia,0,13.7,0,dengue,20,2018
La Altagracia,0,6.3,0,dengue,20,2018
La Romana,0,2.0,0,dengue,20,2018
La Vega,1,13.4,0,dengue,20,2018
María Trinidad Sánchez,1,11.0,0,dengue,20,2018
Monseñor Nouel,0,12.1,0,dengue,20,2018
Monte Cristi,0,24.8,0,dengue,20,2018
Monte Plata,0,6.9,0,dengue,20,2018
Pedernales,1,30.5,0,dengue,20,2018
Peravia,0,0.0,0,dengue,20,2018
Puerto Plata,0,2.4,0,dengue,20,2018
Samaná,0,21.4,0,dengue,20,2018
San Cristóbal,0,5.5,0,dengue,20,2018
San José de Ocoa,0,13.9,0,dengue,20,2018
San Juan,0,17.3,0,dengue,20,2018
San Pedro de Macorís,0,13.8,0,dengue,20,2018
Santiago,1,17.8,0,dengue,20,2018
Santiago Rodríguez,0,4.5,0,dengue,20,2018
Santo Domingo,4,8.2,0,dengue,20,2018
Sánchez Ramírez,0,8.6,0,dengue,20,2018
Valverde,0,40.6,0,dengue,20,2018
Azua,0,30.3,0,dengue,21,2018
Baoruco,0,5.0,0,dengue,21,2018
Barahona,0,28.8,0,dengue,21,2018
Dajabón,0,3.8,0,dengue,21,2018
Distrito Nacional,4,8.0,0,dengue,21,2018
Duarte,0,17.5,0,dengue,21,2018
El Seibo,0,5.4,0,dengue,21,2018
Elías Piña,0,7.8,0,dengue,21,2018
